=== K=6 FAST trial: trial_K6_d11910_h96x96_tanh_n50000_eps0.001_fast_msvrg_without_256_checkpoints_cert ===
  Fast outer 1208/3000 | t=2429.16s | bundle=2514 | grad_equiv=47010.1 | self-reported pc=4.9156e-02
  Fast outer 1212/3000 | t=2500.54s | bundle=2552 | grad_equiv=47723.7 | self-reported pc=4.1223e-02
  Fast outer 1217/3000 | t=2557.17s | bundle=2584 | grad_equiv=48324.7 | self-reported pc=7.8860e-02
  Fast outer 1224/3000 | t=2619.78s | bundle=2622 | grad_equiv=49038.3 | self-reported pc=4.0034e-02
  Fast outer 1228/3000 | t=2683.20s | bundle=2654 | grad_equiv=49639.2 | self-reported pc=4.1502e-02
  Fast outer 1233/3000 | t=2764.77s | bundle=2695 | grad_equiv=50409.2 | self-reported pc=3.3315e-02
  Fast outer 1237/3000 | t=2828.26s | bundle=2728 | grad_equiv=51028.9 | self-reported pc=3.8374e-02
  Fast outer 1244/3000 | t=2902.64s | bundle=2763 | grad_equiv=51686.2 | self-reported pc=4.7549e-02
  Fast outer 1249/3000 | t=2970.73s | bundle=2796 | grad_equiv=52305.9 | self-reported pc=4.5976e-02
  Fast outer 1253/3000 | t=3043.57s | bundle=2836 | grad_equiv=53057.1 | self-reported pc=2.9069e-02
  Fast outer 1258/3000 | t=3101.67s | bundle=2870 | grad_equiv=53695.6 | self-reported pc=4.0109e-02
  Fast outer 1264/3000 | t=3178.75s | bundle=2910 | grad_equiv=54446.8 | self-reported pc=3.6919e-02
  Fast outer 1268/3000 | t=3249.81s | bundle=2947 | grad_equiv=55141.6 | self-reported pc=5.2090e-02
  Fast outer 1273/3000 | t=3310.00s | bundle=2979 | grad_equiv=55742.6 | self-reported pc=6.2152e-02
  Fast outer 1280/3000 | t=3376.27s | bundle=3013 | grad_equiv=56381.1 | self-reported pc=3.5511e-02
  Fast outer 1284/3000 | t=3449.96s | bundle=3053 | grad_equiv=57132.2 | self-reported pc=3.3010e-02
  Fast outer 1288/3000 | t=3517.47s | bundle=3085 | grad_equiv=57733.2 | self-reported pc=5.8089e-02
  Fast outer 1292/3000 | t=3623.88s | bundle=3125 | grad_equiv=58484.4 | self-reported pc=3.2555e-02
  Fast outer 1297/3000 | t=3693.14s | bundle=3157 | grad_equiv=59085.3 | self-reported pc=3.5407e-02
  Fast outer 1301/3000 | t=3784.10s | bundle=3196 | grad_equiv=59817.7 | self-reported pc=4.0922e-02
  Fast outer 1305/3000 | t=3880.07s | bundle=3235 | grad_equiv=60550.1 | self-reported pc=5.0729e-02
  Fast outer 1309/3000 | t=3982.75s | bundle=3275 | grad_equiv=61301.3 | self-reported pc=4.0936e-02
  Fast outer 1313/3000 | t=4064.78s | bundle=3309 | grad_equiv=61939.8 | self-reported pc=7.1543e-02
  Fast outer 1321/3000 | t=4147.66s | bundle=3346 | grad_equiv=62634.6 | self-reported pc=4.6948e-02
  Fast outer 1326/3000 | t=4230.16s | bundle=3381 | grad_equiv=63291.9 | self-reported pc=4.0600e-02
  Fast outer 1331/3000 | t=4337.64s | bundle=3422 | grad_equiv=64061.9 | self-reported pc=5.0161e-02
