snapshot,K,m,batch,start,method,phi,time_s,iters,delta,active,converged,solver_success
K6_early_m108,6,108,8,1,ccp,1.7521504573768996,0.0024579172022640705,4,1.2961451911763788e-09,4,1,1
K6_early_m108,6,108,8,1,ipopt,1.744506451660748,0.04559487523511052,47,0.007223686647229943,2,0,0
K6_early_m108,6,108,8,2,ccp,1.799523822040753,0.003738749772310257,6,5.595857111018177e-10,4,1,1
K6_early_m108,6,108,8,2,ipopt,1.7963046738102728,0.08228516718372703,100,0.00244939566216007,2,0,0
K6_early_m108,6,108,8,3,ccp,1.7995238225995431,0.0026999590918421745,5,7.962519532611623e-13,4,1,1
K6_early_m108,6,108,8,3,ipopt,1.7975415498826748,0.09673854196444154,100,2.102481941657075e-06,1,0,0
K6_early_m108,6,108,8,4,ccp,1.5130401344197146,0.0022426252253353596,4,1.9614081470109568e-09,4,1,1
K6_early_m108,6,108,8,4,ipopt,1.542875640207723,0.10492754215374589,100,0.007202114560909356,2,0,0
K6_early_m108,6,108,8,5,ccp,1.7995238220738021,0.002958875149488449,5,5.265372582385908e-10,4,1,1
K6_early_m108,6,108,8,5,ipopt,1.783153482476037,0.09592525009065866,100,0.013834432433714072,2,0,0
K6_early_m108,6,108,8,6,ccp,1.5469223926949658,0.0031190840527415276,5,8.326672684688674e-14,4,1,1
K6_early_m108,6,108,8,6,ipopt,1.360009721873914,0.07014629198238254,100,0.16317397731520877,1,0,0
K6_early_m108,6,108,8,7,ccp,1.7975436526446558,0.0035570827312767506,6,8.895617575888082e-11,4,1,1
K6_early_m108,6,108,8,7,ipopt,1.6735887493596606,0.09248387487605214,100,0.0443034266309803,3,0,0
K6_early_m108,6,108,8,8,ccp,1.7975436527336113,0.0027151666581630707,5,1.1102230246251565e-15,4,1,1
K6_early_m108,6,108,8,8,ipopt,1.795316752844494,0.0808129170909524,100,0.0020291509042416056,2,0,0
K6_early_m108,6,108,8,9,ccp,1.7995238220394745,0.003612792119383812,6,5.608646880261858e-10,4,1,1
K6_early_m108,6,108,8,9,ipopt,1.3312135173517992,0.08397524990141392,100,0.1889777076744401,1,0,0
K6_early_m108,6,108,9,0,ccp,1.797543652651538,0.0034913327544927597,6,8.207345914001962e-11,4,1,1
K6_early_m108,6,108,9,0,ipopt,1.7670884904418889,0.07516679214313626,79,0.02085629156572333,2,0,0
K6_early_m108,6,108,9,1,ccp,1.6712719891527814,0.002424208912998438,4,5.746707554266095e-10,5,1,1
K6_early_m108,6,108,9,1,ipopt,1.6462829575950644,0.07161083398386836,100,0.03476937105138811,1,0,0
