instance,source,family,K,m,sampler,N,rep,phi,wall_s,ccp_iters,sandwich,regret_rel,miss
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,10,12.925006280336726,0.0029175831004977226,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,11,12.925006280336726,0.002880500163882971,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,12,12.925006280336726,0.0031401249580085278,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,13,12.925006280336726,0.003116999752819538,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,14,12.925006280336726,0.0031440421007573605,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,15,12.925006280336726,0.0031689167954027653,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,16,12.925006280336726,0.003005458042025566,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,17,12.925006280336726,0.0032345419749617577,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,18,12.925006280336726,0.002987625077366829,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,19,12.925006280336726,0.0029795002192258835,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,20,12.925006280336726,0.0031342091970145702,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,21,12.925006280336726,0.003081750124692917,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,22,12.925006280336726,0.0032286671921610832,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,23,12.925006280336726,0.0031351246871054173,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,24,12.925006280336726,0.002928290981799364,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,25,12.925006280336726,0.0034255417995154858,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,26,12.925006280336726,0.003198500256985426,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,27,12.925006280336726,0.0032592080533504486,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,28,12.925006280336726,0.0030396669171750546,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,29,12.925006280336726,0.0029501249082386494,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,30,12.925006280336726,0.0032270001247525215,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,31,12.925006280336726,0.0031458749435842037,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,32,12.925006280336726,0.0031225411221385,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,33,12.925006280336726,0.003039250150322914,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,34,12.925006280336726,0.0031367079354822636,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,35,12.925006280336726,0.003324124962091446,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,36,12.925006280336726,0.003237249795347452,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,37,12.925006280336726,0.003131832927465439,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,38,12.925006280336726,0.0032495418563485146,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,39,12.925006280336726,0.0028978330083191395,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,40,12.925006280336726,0.0032727918587625027,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,41,12.925006280336726,0.0030502090230584145,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,42,12.925006280336726,0.0029512918554246426,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,43,12.925006280336726,0.0032010828144848347,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,44,12.925006280336726,0.003066000062972307,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,45,12.925006280336726,0.002968207933008671,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,46,12.925006280336726,0.0031493748538196087,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,47,12.925006280336726,0.003079541027545929,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,48,12.925006280336726,0.0031462921760976315,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,49,12.925006280336726,0.00303583312779665,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,0,12.925006280336726,0.0037634167820215225,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,1,12.925006280336726,0.0036148331128060818,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,2,12.925006280336726,0.0033008330501616,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,3,12.925006280336726,0.0036706668324768543,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,4,12.925006280336726,0.0034262905828654766,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,5,12.925006280336726,0.0035220421850681305,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,6,12.925006280336726,0.0033829580061137676,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,7,12.925006280336726,0.003303125035017729,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,8,12.925006280336726,0.003520958125591278,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,9,12.925006280336726,0.0034775827080011368,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,10,12.925006280336726,0.0034324578009545803,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,11,12.925006280336726,0.003659541718661785,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,12,12.925006280336726,0.0035979999229311943,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,13,12.925006280336726,0.003514542244374752,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,14,12.925006280336726,0.0035978341475129128,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,15,12.925006280336726,0.0036066249012947083,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,16,12.925006280336726,0.003438582643866539,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,17,12.925006280336726,0.003718042280524969,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,18,12.925006280336726,0.0034515000879764557,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,19,12.925006280336726,0.0034720408730208874,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,20,12.925006280336726,0.0033604158088564873,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,21,12.925006280336726,0.0034260000102221966,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,22,12.925006280336726,0.003611875232309103,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,23,12.925006280336726,0.00350687513127923,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,24,12.925006280336726,0.003535834141075611,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,25,12.925006280336726,0.0033744159154593945,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,26,12.925006280336726,0.003663291223347187,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,27,12.925006280336726,0.0034172912128269672,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,28,12.925006280336726,0.0034997076727449894,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,29,12.925006280336726,0.003593999892473221,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,30,12.925006280336726,0.00345633365213871,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,31,12.925006280336726,0.0035254997201263905,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,32,12.925006280336726,0.0032712919637560844,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,33,12.925006280336726,0.0034749158658087254,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,34,12.925006280336726,0.0033809589222073555,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,35,12.925006280336726,0.003206124994903803,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,36,12.925006280336726,0.0034445831552147865,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,37,12.925006280336726,0.0034672911278903484,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,38,12.925006280336726,0.003490667324513197,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,39,12.925006280336726,0.0037152920849621296,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,40,12.925006280336726,0.0035523339174687862,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,41,12.925006280336726,0.003436458297073841,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,42,12.925006280336726,0.0033819591626524925,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,43,12.925006280336726,0.0034870831295847893,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,44,12.925006280336726,0.003407791256904602,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,45,12.925006280336726,0.0036192499101161957,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,46,12.925006280336726,0.0032859588973224163,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,47,12.925006280336726,0.003281417302787304,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,48,12.925006280336726,0.0036099161952733994,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,2048,49,12.925006280336726,0.003501792438328266,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,0,12.925006280336726,0.0030703330412507057,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,1,12.925006280336726,0.0029871254228055477,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,2,12.925006280336726,0.0029147081077098846,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,3,12.925006280336726,0.0032145418226718903,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,4,12.925006280336726,0.003055958077311516,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,5,12.925006280336726,0.003126374911516905,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,6,12.925006280336726,0.0030519580468535423,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,7,12.925006280336726,0.00307908421382308,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,8,12.925006280336726,0.0029380000196397305,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,9,12.925006280336726,0.003122583031654358,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,10,12.925006280336726,0.0029124575667083263,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,11,12.925006280336726,0.0029791248962283134,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,12,12.925006280336726,0.0031737079843878746,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,13,12.925006280336726,0.003018749877810478,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,14,12.925006280336726,0.0028897086158394814,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,15,12.925006280336726,0.003358665853738785,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,16,12.925006280336726,0.0030780830420553684,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,17,12.925006280336726,0.0031635421328246593,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,18,12.925006280336726,0.0031781671568751335,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,19,12.925006280336726,0.002894334029406309,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,20,12.925006280336726,0.002956707961857319,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,21,12.925006280336726,0.0030022920109331608,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,22,12.925006280336726,0.0031208330765366554,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,23,12.925006280336726,0.002891791984438896,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,24,12.925006280336726,0.002961458172649145,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,25,12.925006280336726,0.0030024158768355846,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,26,12.925006280336726,0.0028742090798914433,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,27,12.925006280336726,0.003172917291522026,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,28,12.925006280336726,0.002922625280916691,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,29,12.925006280336726,0.0028053331188857555,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,30,12.925006280336726,0.0028881249018013477,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,31,12.925006280336726,0.002825874835252762,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,32,12.925006280336726,0.002843291964381933,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,33,12.925006280336726,0.003134333062916994,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,34,12.925006280336726,0.002906083595007658,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,35,12.925006280336726,0.0028485418297350407,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,36,12.925006280336726,0.0030963337048888206,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,37,12.925006280336726,0.003107166849076748,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,38,12.925006280336726,0.003264208324253559,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,39,12.925006280336726,0.0030617923475801945,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,sobol,128,40,12.925006280336726,0.0031600832007825375,18,False,0.0,0
